Date,Open,High,Low,Close
3/29/2004,386677.83,389961.38,383260.88,384406.66
3/30/2004,385244.3,391131.04,377657.48,377648.27
3/31/2004,376446.69,381330.53,376446.69,381242.79
4/1/2004,383990.92,387998.41,376250.27,380276.34
4/2/2004,376719.01,376719.01,360271.59,362450.54
4/5/2004,359352.99,361568.52,357690.31,357664.15
4/6/2004,356680.93,365932.41,356680.93,363672.18
4/7/2004,367351.09,372867.91,365022.35,369186.31
4/8/2004,364105.01,369740.57,364105.01,369100.15
4/12/2004,363727.78,363727.78,359653.27,359618.19
4/13/2004,368461.53,373501.38,365632.9,373372.99
4/14/2004,375295.68,376645.82,375295.68,376359.87
4/15/2004,372842.65,375453.09,371532,373756.07
4/16/2004,369772.91,369831.7,365963.23,365954.31
4/19/2004,367772.6,368521.86,362362.52,362561.68
4/20/2004,362561.68,367965.26,358056.66,367956.29
4/21/2004,366803.42,366995.57,358156.93,358926.32
4/22/2004,356473.57,356473.57,329876.5,333825.1
4/23/2004,332012.08,337203.04,332012.08,334264.57
4/26/2004,333732.86,335214.05,330530.7,330506.53
4/27/2004,330317.62,330317.62,320230.14,324802.62
4/28/2004,329310.51,337762.79,328606.15,335180.74
4/29/2004,333742.12,344709.29,332621.11,342486.65
4/30/2004,338601.63,349494.58,337820.9,349290.82
5/3/2004,344700.73,344700.73,339139.46,339114.65
5/4/2004,337207.24,338515.71,328112.46,334683.58
5/5/2004,331200.15,332575.19,324609.15,324601.24
5/6/2004,328591.9,343670.77,328591.9,337867.66
5/7/2004,339390.4,348898.67,333516.96,348890.16
5/10/2004,356030.82,366303.98,354830.18,362036.22
5/11/2004,356706.33,357336.56,349467.76,351000.42
5/12/2004,348400.09,366602.43,345306.59,345353.35
5/13/2004,348462.39,366509.1,345174.67,345569.53
5/14/2004,341971.33,350138.52,341071.78,347388.15
5/17/2004,351686.54,358986.71,350407.69,357481.51
5/18/2004,353121.12,355310.18,352899.56,355019.4
5/19/2004,346705.54,347413.1,331492.95,339101.25
5/20/2004,337217.11,342024.08,335995.02,342015.74
